open,high,low,close,date,volume
2058.49,2090.4,1939.1,1961.77,16-11-2023 00:00,545286.1297
1961.77,1991.5,1904.0,1960.82,17-11-2023 00:00,401100.5069
1960.82,1971.22,1916.0,1962.6,18-11-2023 00:00,279368.2208
1962.59,2015.75,1942.89,2011.47,19-11-2023 00:00,251132.6192
2011.47,2066.4,1990.0,2021.4,20-11-2023 00:00,421717.679
2021.41,2034.6,1931.43,1933.01,21-11-2023 00:00,490163.9863
1933.01,2092.46,1928.41,2063.21,22-11-2023 00:00,466120.5109
2063.22,2088.94,2040.35,2062.2,23-11-2023 00:00,250960.6958
2062.21,2133.02,2059.37,2080.84,24-11-2023 00:00,426932.5402
2080.84,2090.54,2065.3,2083.09,25-11-2023 00:00,138847.393
2083.1,2094.99,2036.42,2062.33,26-11-2023 00:00,241262.9136
2062.34,2071.24,1985.78,2027.5,27-11-2023 00:00,326073.2298
2027.5,2075.0,1995.15,2048.14,28-11-2023 00:00,283775.9279
2048.14,2075.7,2019.31,2028.81,29-11-2023 00:00,254843.7319
2028.8,2054.75,2020.85,2051.96,30-11-2023 00:00,243680.0921
2051.95,2110.87,2045.04,2087.24,01-12-2023 00:00,372645.586
2087.24,2186.6,2086.25,2164.74,02-12-2023 00:00,320979.9768
2164.75,2217.27,2149.0,2192.95,03-12-2023 00:00,257879.1136
2192.96,2274.28,2191.0,2243.37,04-12-2023 00:00,565307.7134
2243.36,2309.72,2188.33,2293.33,05-12-2023 00:00,529829.7214
2293.33,2312.23,2220.0,2232.7,06-12-2023 00:00,408338.9056
2232.7,2382.8,2222.0,2355.73,07-12-2023 00:00,485190.0609
2355.74,2392.0,2336.34,2358.72,08-12-2023 00:00,378569.8126
2358.71,2403.0,2328.01,2340.49,09-12-2023 00:00,287771.0664
2340.48,2377.47,2320.0,2352.39,10-12-2023 00:00,200037.2102
2352.39,2355.0,2156.62,2225.12,11-12-2023 00:00,640414.9166
2225.11,2244.12,2166.0,2203.46,12-12-2023 00:00,361588.9087
2203.47,2284.02,2144.32,2260.16,13-12-2023 00:00,418916.6154
2260.16,2332.11,2228.2,2315.32,14-12-2023 00:00,409508.0931
2315.32,2317.81,2200.0,2220.5,15-12-2023 00:00,333552.6328
2220.51,2263.4,2210.0,2228.96,16-12-2023 00:00,199285.923
2228.96,2248.68,2191.5,2196.52,17-12-2023 00:00,225925.7675
2196.53,2224.0,2116.6,2219.43,18-12-2023 00:00,364103.1181
2219.44,2255.0,2135.55,2177.91,19-12-2023 00:00,383551.4049
2177.9,2266.0,2156.0,2202.17,20-12-2023 00:00,416841.6272
2202.17,2279.31,2182.98,2239.61,21-12-2023 00:00,453069.7252
2239.6,2343.15,2230.59,2324.54,22-12-2023 00:00,591357.488
2324.54,2330.65,2265.0,2308.2,23-12-2023 00:00,255626.9352
2308.2,2326.19,2245.0,2264.05,24-12-2023 00:00,307951.076
2264.04,2304.8,2253.1,2271.35,25-12-2023 00:00,286277.1616
2271.36,2274.99,2178.45,2230.88,26-12-2023 00:00,410413.1591
2230.88,2392.44,2211.88,2378.35,27-12-2023 00:00,541537.3574
2378.35,2445.8,2335.0,2344.15,28-12-2023 00:00,580459.982
2344.15,2385.41,2255.34,2299.2,29-12-2023 00:00,450201.2069
2299.2,2322.84,2268.0,2291.68,30-12-2023 00:00,210539.1327
2291.68,2321.34,2258.88,2281.87,31-12-2023 00:00,222175.8779
2281.87,2352.37,2265.24,2352.04,01-01-2024 00:00,216702.6914
2352.05,2431.3,2341.0,2355.34,02-01-2024 00:00,458041.6642
2355.35,2385.45,2100.0,2209.72,03-01-2024 00:00,798729.4869
2209.72,2294.69,2201.91,2267.11,04-01-2024 00:00,448844.055
2267.11,2277.21,2206.17,2268.78,05-01-2024 00:00,405568.0006
2268.78,2270.0,2216.4,2240.78,06-01-2024 00:00,194067.8656
2240.77,2258.01,2203.46,2221.42,07-01-2024 00:00,207138.6927
2221.42,2358.2,2166.38,2330.44,08-01-2024 00:00,539407.5547
2330.43,2371.72,2226.78,2344.29,09-01-2024 00:00,551454.9931
2344.3,2643.1,2339.59,2584.38,10-01-2024 00:00,1038388.666
2584.37,2689.39,2566.01,2618.01,11-01-2024 00:00,838712.2577
2618.01,2717.32,2458.0,2522.54,12-01-2024 00:00,887457.7627
2522.55,2590.0,2497.5,2578.19,13-01-2024 00:00,422061.232
2578.18,2578.69,2470.0,2472.87,14-01-2024 00:00,306207.7463
2472.87,2553.82,2470.92,2511.78,15-01-2024 00:00,315247.8819
2511.79,2614.43,2500.05,2587.4,16-01-2024 00:00,381077.6247
2587.41,2592.97,2506.75,2530.19,17-01-2024 00:00,366281.3477
2530.2,2550.0,2428.56,2470.81,18-01-2024 00:00,452090.1074
2470.81,2504.2,2415.2,2492.0,19-01-2024 00:00,424209.0029
2491.99,2492.0,2454.2,2472.01,20-01-2024 00:00,136620.9577
2472.02,2482.18,2452.13,2457.05,21-01-2024 00:00,122572.1687
2457.06,2466.1,2303.59,2314.2,22-01-2024 00:00,526337.6492
2314.19,2352.23,2168.07,2242.6,23-01-2024 00:00,700105.3314
2242.6,2264.6,2196.12,2235.02,24-01-2024 00:00,359851.1496
2235.02,2242.89,2171.3,2218.64,25-01-2024 00:00,330426.6061
2218.64,2282.36,2195.84,2267.68,26-01-2024 00:00,363566.4255
2267.67,2282.94,2251.4,2267.94,27-01-2024 00:00,145109.3836
2267.94,2308.24,2239.89,2256.9,28-01-2024 00:00,209326.9087
2256.9,2322.34,2233.8,2317.6,29-01-2024 00:00,305528.0776
2317.61,2391.98,2297.0,2343.01,30-01-2024 00:00,372879.5791
2343.0,2351.6,2263.57,2283.14,31-01-2024 00:00,397116.1859
2283.15,2311.72,2240.0,2304.28,01-02-2024 00:00,310997.4538
